15259,ASOCIACIÓN CÁMARA DE COMERCIANTES LGBT DE COLOMBIA,1
15260,FEDERACIÓN COLOMBIANA DE GESTIÓN HUMANA ACRIP,1
15282,FUNDACIÓN GESTIÓN POR COLOMBIA,1
15287,FUNDACIÓN ACADEMIA SINU,2
15296,FUNDACIÓN INTERNACIONAL PARA EL DESARROLLO Y EL EMPRENDIMIENTO FUNINDEM,1
21015,ASOCIACION DE EGRESADOS  DE LA UNIVERSIDAD  DE LOS ANDES,3
21083,FUNDACION PARA EL FUTURO DE COLOMBIA-COLFUTURO,2
21277,SOCIEDAD DE ADMINISTRADORES DE EMPRESAS JAVERIANOS - SAEJ,3
22030,INSTITUCIÓN UNIVERSITARIA COLEGIO MAYOR DE ANTIOQUIA,2
22031,COLEGIO MAYOR DE NUESTRA SEÑORA DEL ROSARIO,2
22068,UNIVERSIDAD PILOTO DE COLOMBIA,2
22069,CORPORACION UNIVERSITARIA LASALLISTA,2
22070,CORPORACION UNIVERSITARIA REMINGTON,2
22073,UNIVERSIDAD EAFIT,2
22075,ESCUELA COLOMBIANA DE CARRERAS INDUSTRIALES - ECCI,2
22076,ESCUELA COLOMBIANA DE INGENIERIA JULIO GARAVITO,2
22077,UNIVERSIDAD EIA,2
22080,FUNDACIÓN UNIVERSITARIA HORIZONTE,2
22084,FUNDACIÓN TECNOLÓGICA CANADIENSE INTERNACIONAL LCI,2
22085,FUNDACION UNIVERSIDAD DE BOGOTÁ JORGE TADEO LOZANO,2
22086,FUNDACION UNIVERSITARIA KONRAD LORENZ,2
22102,POLITECNICO GRAN COLOMBIANO,2
22103,PONTIFICIA UNIVERSIDAD JAVERIANA,2
22104,FUNDANCIÓN UNIVERSITARIA EMPRESARIAL DE LA CAMARA DE COMERCIO DE BOGOTÁ -UNIEMPRESARIAL,2
22105,FUNDACION UNIVERSIDAD AUTÓNOMA DE COLOMBIA,2
22106,CORPORACIÓN DE CIENCIA Y DESARROLLO UNICIENCIA,2
22107,UNIVERSIDAD DE CALDAS,2
22108,UNIVERSIDAD  SERGIO ARBOLEDA,2
22109,UNIVERSIDAD ANTONIO NARIÑO,2
22110,UNIVERSIDAD AUTÓNOMA  DE OCCIDENTE,2
22111,UNIVERSIDAD AUTÓNOMA DE BUCARAMANGA,2
22112,UNIVERSIDAD CATOLICA DE COLOMBIA,2
22113,UNIVERSIDAD CATÓLICA DE ORIENTE,2
22114,UNIVERSIDAD CES,2
22115,UNIVERSIDAD DE CARTAGENA,2
22116,UNIVERSIDAD DE CIENCIAS APLICADAS Y AMBIENTALES U.D.C.A.,2
22117,UNIVERSIDAD DE LA SABANA,2
22118,UNIVERSIDAD DE LOS ANDES,2
22119,UNIVERSIDAD DEL ATLÁNTICO,2
22120,UNIVERSIDAD DEL NORTE,2
22121,UNIVERSIDAD DEL TOLIMA,2
22122,UNIVERSIDAD INDUSTRIAL DE SANTANDER,2
22123,INSTITUCIÓN UNIVERSITARIA PASCUAL BRAVO,2
22124,UNIVERSIDAD PONTIFICIA BOLIVARIANA,2
22125,UNIVERSIDAD SAN BUENAVENTURA,2
22126,UNIVERSIDAD SIMON BOLIVAR,2
22129,UNIVERSIDAD DE MANIZALES,2
22130,UNIVERSIDAD SANTO TOMÁS,2
22131,FUNDACIÓN UNIVERSIDAD DE AMÉRICA,2
22133,CORPORACIÓN UNIVERSITARIA MINUTO DE DIOS-UNIMINUTO,2
22136,UNIVERSIDAD ICESI,2
22141,FUNDACIÓN UNIVERSITARIA CATÓLICA LUMEN GENTIUM,2
22143,UNIVERSIDAD DEL MAGDALENA-UNIMAGDALENA,2
22147,UNIVERSIDAD EL BOSQUE,2
22153,CORPORACIÓN UNIFICADA NACIONAL DE EDUCACIÓN SUPERIOR CUN,2
22154,FUNDACIÓN UNIVERSITARIA LOS LIBERTADORES,2
22155,FUNDACIÓN UNIVERSITARIA DEL ÁREA ANDINA,2
22157,FUNDACIÓN UNIVERSITARIA DE LA SALUD FUCS,2
22158,INSTITUCIÓN UNIVERSITARIA SALAZAR Y HERRERA,2
22162,CORPORACIÓN UNIVERSIDAD DE LA COSTA,2
22166,UNIVERSIDAD EAN,2
22168,UNIVERSIDAD NACIONAL ABIERTA Y A DISTANCIA UNAD,2
22169,UNIVERSIDAD AUTÓNOMA DEL CARIBE,2
22170,POLITÉCNICO INTERNACIONAL INSTITUCIÓN DE EDUCACIÓN SUPERIOR,2
22171,FUNDACIÓN UNIVERSITARIA ESUMER,2
22172,FUNDACIÓN UNIVERSITARIA JUAN N. CORPAS,2
22173,FUNDACION UNIVERSITARIA AGRARIA DE COLOMBIA- UNIAGRARIA,2
22174,UNIDAD CENTRAL DEL VALLE DEL CAUCA-UCEVA,2
22177,FUNDACIÓN UNIVERSIDAD EXTERNADO DE COLOMBIA,2
22183,UNIVERSIDAD CATÓLICA DE MANIZALES,2
22184,UNIVERSIDAD NACIONAL DE COLOMBIA,2
22186,INSTITUCIÓN UNIVERSITARIA ITM ,2
22188,UNIVERSIDAD DE SUCRE,2
22190,FUNDACIÓN EDUCATIVA CESDE,2
22193,FUNDACIÓN UNIVERSITARIA CEIPA,2
22202,UNIVERSIDAD POPULAR DEL CESAR,2
22203,FUNDACIÓN UNIVERSITARIA MARIA CANO,2
22204,UNIVERSIDAD DE MEDELLIN ,2
22205,UNIVERSIDAD LA GRAN COLOMBIA ARMENIA,2
22206,UNIVERSIDAD SANTIAGO DE CALI,2
22207,UNIAGUSTINIANA,2
22209,CORPORACIÓN POLITÉCNICO DE LA COSTA ATLÁNTICA,2
22210,UNIVERSIDAD CENTRAL,2
22211,FUNDACIÓN UNIVERSITARIA SANITAS,2
22212,INSTITUCIÓN UNIVERSITARIA COLOMBO AMERICANA-ÚNICA,2
22213,CORPORACIÓN UNIVERSITARIA IBEROAMERICANA,2
22214,CORPORACIÓN UNIVERSITARIA AMERICANA,2
22215,INSTITUCIÓN UNIVERSITARIA ITSA,2
22218,UNIVERSIDAD DEL CAUCA,2
22219,UNIVERSIDAD DE LA GUAJIRA,2
22220,UNIVERSIDAD MILITAR NUEVA GRANADA ,2
22221,UNIVERSIDAD DEL VALLE,2
22222,ESCUELA NACIONAL DEL DEPORTE,2
22223,UNIVERSIDAD COOPERATIVA DE COLOMBIA,2
22224,FUNDACIÓN UNIVERSITARIA AUTÓNOMA DE LAS AMÉRICAS,2
22225,UNIVERSIDAD FRANCISCO DE PAULA SANTANDER,2
22227,UNIVERSIDAD SURCOLOMBIANA,2
22230,UNIVERSIDAD MARIANA,2
22232,UNIVERSIDAD METROPOLITANA,2
22233,CORPORACIÓN ESCUELA DE ARTES Y LETRAS,2
22235,COLEGIO INTEGRADO NACIONAL ORIENTE DE CALDAS – IES CINOC,2
22236,FUNDACIÓN UNIVERSITARIA JUAN DE CASTELLANOS,2
22238,ESCUELA SUPERIOR DE ADMINISTRACIÓN PÚBLICA ESAP,2
22239,UNIVERSIDAD DEL QUINDIO,2
22240,CORPORACIÓN UNIVERSITARIA DE ASTURIAS,2
22241,UNIVERSIDAD DEL SINÚ,2
22242,FUNDACIÓN ESCUELA COLOMBIANA DE REHABILITACIÓN,2
22244,CORPORACIÓN UNIVERSITARIA DEL HUILA - CORHUILA,2
22246,CORPORACIÓN UNIVERSITARIA DEL CARIBE - CECAR,2
22249,UNIVERSIDAD DE SANTANDER,2
22251,CORPORACIÓN UNIVERSITARIA LATINOAMERICANA ,2
22254,FUNDACIÓN UNIVERSITARIA CERVANTINA SAN AGUSTIN ,2
22255,Corporación Universitaria Unitec,2
22257,"FUNDACIÓN DE ESTUDIOS SUPERIORES UNIVERSITARIOS DE URABA ANTONIO ROLDAN BETANCUR ""FESU""",2
22258,UNIVERSIDAD LIBRE,2
22261,UNIVERSIDAD CATOLICA DE PEREIRA,2
22264,POLITÉCNICO COLOMBIANO JAIME ISAZA CADAVID,2
22265,CORPORACIÓN UNIVERSITARIA EMPRESARIAL DE SALAMANCA ,2
22266,FUNDACIÓN UNIVERSITARIA TECNOLÓGICO COMFENALCO CARTAGENA,2
22267,UNIVERSIDAD FRANCISCO DE PAULA SANTANDER OCAÑA,2
22268,UNIVERSIDAD COLEGIO MAYOR DE CUNDINAMARCA,2
22269,Corporación Universitaria de Sabaneta-UNISABANETA,2
22270,UNIVERSIDAD DE CUNDINAMARCA,2
22273,UNIVERSIDAD TECNOLÓGICA DEL CHOCO DIEGO LUIS CÓRDOBA- UTCH,2
22275,UNIVERSIDAD DE PAMPLONA,2
22276,INSTITUCIÓN UNIVERSITARIA EAM,2
22277,FUNDACIÓN UNIVERSITARIA CLARETIANA - UNICLARETIANA,2
22278,UNIVERSIDAD DE LA SALLE,2
22282,CONSEJO PROFESIONAL DE ADMINISTRACIÓN DE EMPRESAS,3
22288,UNIDADES TECNOLÓGICAS DE SANTANDER,2
22292,UNIVERSIDAD DE ANTIOQUIA,2
22295,ESCUELA TECNOLÓGICA INSTITUTO TÉCNICO CENTRAL ,2
22300,CORPORACIÓN EDUCATIVA SIN FRONTERAS S.A.S.,2
22304,UNIVERSIDAD TECNOLÓGICA DE BOLIVAR,2
99999,  ,2
